Local Government Area (LGA),Offence Count,LGA ERP,Victorian ERP
ALPINE,381,"11,817","6,157,538"
ARARAT,"1,342","10,884","6,157,538"
BALLARAT,"11,991","105,127","6,157,538"
BANYULE,"9,658","128,469","6,157,538"
BASS COAST,"2,655","33,648","6,157,538"
BAW BAW,"3,879","48,758","6,157,538"
BAYSIDE,"5,169","103,547","6,157,538"
BENALLA,"1,308","13,311","6,157,538"
BOROONDARA,"8,359","179,122","6,157,538"
BRIMBANK,"17,874","203,260","6,157,538"
BULOKE,179,"5,775","6,157,538"
CAMPASPE,"3,549","36,911","6,157,538"
CARDINIA,"6,613","99,850","6,157,538"
CASEY,"23,523","310,680","6,157,538"
CENTRAL GOLDFIELDS,"1,230","12,578","6,157,538"
COLAC-OTWAY,"2,098","20,078","6,157,538"
CORANGAMITE,"1,089","15,445","6,157,538"
DAREBIN,"16,348","156,312","6,157,538"
EAST GIPPSLAND,"3,905","44,919","6,157,538"
FRANKSTON,"15,826","138,057","6,157,538"
GANNAWARRA,663,"9,823","6,157,538"
GLEN EIRA,"7,530","150,443","6,157,538"
GLENELG,"1,670","18,975","6,157,538"
GOLDEN PLAINS,760,"21,670","6,157,538"
GREATER BENDIGO,"10,563","112,636","6,157,538"
GREATER DANDENONG,"19,939","158,691","6,157,538"
GREATER GEELONG,"22,757","237,306","6,157,538"
GREATER SHEPPARTON,"8,344","64,363","6,157,538"
HEPBURN,849,"14,927","6,157,538"
HINDMARSH,411,"5,335","6,157,538"
HOBSONS BAY,"6,325","94,434","6,157,538"
HORSHAM,"2,586","19,995","6,157,538"
HUME,"21,910","205,594","6,157,538"
INDIGO,460,"15,501","6,157,538"
KINGSTON,"11,287","158,022","6,157,538"
KNOX,"12,127","158,070","6,157,538"
LATROBE,"13,938","73,809","6,157,538"
LODDON,411,"7,231","6,157,538"
MACEDON RANGES,"2,524","46,706","6,157,538"
MANNINGHAM,"5,176","122,447","6,157,538"
MANSFIELD,637,"8,376","6,157,538"
MARIBYRNONG,"8,683","87,796","6,157,538"
MAROONDAH,"8,933","114,734","6,157,538"
MELBOURNE,"37,055","145,815","6,157,538"
MELTON,"11,154","143,311","6,157,538"
MILDURA,"6,771","53,691","6,157,538"
MITCHELL,"4,593","40,788","6,157,538"
MOIRA,"1,986","29,104","6,157,538"
MONASH,"11,714","191,837","6,157,538"
MOONEE VALLEY,"9,452","124,017","6,157,538"
MOORABOOL,"2,513","32,802","6,157,538"
MORELAND,"13,910","174,831","6,157,538"
MORNINGTON PENINSULA,"11,671","158,210","6,157,538"
MOUNT ALEXANDER,"1,278","18,346","6,157,538"
MOYNE,696,"16,320","6,157,538"
MURRINDINDI,673,"13,850","6,157,538"
NILLUMBIK,"2,743","63,084","6,157,538"
NORTHERN GRAMPIANS,"1,259","11,339","6,157,538"
PORT PHILLIP,"13,627","110,308","6,157,538"
PYRENEES,547,"6,903","6,157,538"
QUEENSCLIFFE,151,"3,009","6,157,538"
SOUTH GIPPSLAND,"1,687","27,851","6,157,538"
SOUTHERN GRAMPIANS,"1,339","15,600","6,157,538"
STONNINGTON,"10,823","112,907","6,157,538"
STRATHBOGIE,635,"9,939","6,157,538"
SURF COAST,"1,303","29,873","6,157,538"
SWAN HILL,"2,287","20,382","6,157,538"
TOWONG,208,"5,729","6,157,538"
WANGARATTA,"2,478","27,025","6,157,538"
WARRNAMBOOL,"3,471","34,293","6,157,538"
WELLINGTON,"4,393","41,931","6,157,538"
WEST WIMMERA,198,"3,734","6,157,538"
WHITEHORSE,"8,548","170,254","6,157,538"
WHITTLESEA,"16,095","210,500","6,157,538"
WODONGA,"3,269","40,145","6,157,538"
WYNDHAM,"14,719","229,742","6,157,538"
YARRA,"13,443","95,028","6,157,538"
YARRA RANGES,"8,542","152,283","6,157,538"
YARRIAMBIACK,454,"6,549","6,157,538"
